time,close,high,low,open,volumefrom,volumeto
1519124160,11394.17,11398.17,11378.17,11378.17,1.71,19493.23
1519124220,11384.18,11396.12,11378.21,11394.17,2.66,30336.3
1519124280,11398,11399.85,11384.18,11384.18,1.06,12089.41
1519124340,11380.23,11399.85,11378.21,11398,2.45,27910.15
1519124400,11380.81,11398.03,11378.21,11380.23,1.01,11524.96
1519124460,11380.22,11399.9,11370,11380.81,2.22,25226.2
1519124520,11354.17,11382.12,11350,11380.22,5.8,65939.3
1519124580,11348.17,11356.17,11348.17,11354.17,0.896,10170.71
1519124640,11354.18,11360.12,11346.17,11348.17,1.1,12491
1519124700,11351.85,11360.11,11351.04,11354.18,1.01,11430.91
1519124760,11362.17,11364.17,11350.17,11351.85,1.9,21536.95
1519124820,11364.17,11364.17,11360.07,11362.17,1.33,15062.99
1519124880,11362.17,11364.17,11362.17,11364.17,5.38,61090.64
1519124940,11328.17,11362.17,11326.05,11362.17,1.41,15982.23
1519125000,11352.17,11356.17,11316.28,11328.17,2.69,30461.11
1519125060,11340,11362.17,11338.17,11352.17,1.14,12953.02
1519125120,11322.8,11340,11316.43,11340,1.56,17623.31
1519125180,11330.15,11330.17,11322.8,11322.8,0.6407,7256.45
1519125240,11340.17,11340.17,11330.15,11330.15,0.6194,7023.72
1519125300,11350.17,11350.17,11340.12,11340.17,1.01,11412.41
1519125360,11350.18,11360.17,11346.17,11350.17,0.7174,8142.29
1519125420,11330.17,11353.17,11330.17,11350.18,1.94,22056.27
1519125480,11338,11338,11326.36,11330.17,1.61,18222.07
1519125540,11330.17,11346.17,11326.36,11338,3.54,40111.03
1519125600,11320,11332.51,11316.28,11330.17,8.66,98069.57
1519125660,11328.41,11338.17,11320,11320,6.29,71301.52
1519125720,11316.46,11328.41,11316.18,11328.41,3.4,38446.78
1519125780,11320,11320,11316.16,11316.46,18.32,207304.37
1519125840,11322.17,11338.31,11316.16,11320,2.76,31288.97
1519125900,11322.22,11322.22,11316.16,11322.17,0.7404,8381.3
1519125960,11339.75,11340,11322.22,11322.22,3.47,39302.22
1519126020,11330.17,11340,11330,11339.75,13.69,155150.63
1519126080,11332.17,11332.17,11330.01,11330.17,0.7901,8952.06
1519126140,11341.01,11343,11331.75,11332.17,10.79,122391.76
1519126200,11360,11360,11341,11341.01,6.37,72358.4
1519126260,11420,11420,11360,11360,7.52,85727.67
1519126320,11393.17,11420,11380.27,11420,4.26,48524.83
1519126380,11394.17,11400,11390.65,11393.17,6.15,70028.66
1519126440,11396.17,11399.95,11392.58,11394.17,2.11,24056.17
1519126500,11400.2,11405,11396.17,11396.17,6.21,70783.54
1519126560,11410,11420,11400.2,11400.2,7.6,86695.06
1519126620,11420,11421.9,11408.17,11410,7.98,91112.23
1519126680,11426.17,11442.17,11420,11420,3.29,37576.47
1519126740,11418.17,11426.17,11414.17,11426.17,17.89,204255.5
1519126800,11412.09,11422.17,11392.58,11418.17,2.63,29984.95
1519126860,11408,11412.17,11392.64,11412.09,1.66,18967.6
1519126920,11410.43,11411.92,11408,11408,0.7964,9086.22
1519126980,11424.99,11426.12,11408.17,11410.43,3.37,38407.76
1519127040,11446.18,11450,11424.17,11424.99,5.18,59246.46
1519127100,11451.17,11451.17,11440.47,11446.18,6.63,75860.97
1519127160,11449.95,11451.17,11446.17,11451.17,3.82,43711.56
1519127220,11430.22,11450,11430.22,11449.95,5.06,57913.79
1519127280,11445.26,11450,11430.22,11430.22,0.8476,9697.4
1519127340,11441.04,11445.26,11440.16,11445.26,0.5266,6024.82
1519127400,11447.19,11458.17,11430.22,11441.04,15.81,180955.44
1519127460,11391.76,11447.19,11391.66,11447.19,5.56,63405.58
1519127520,11406.17,11410.7,11391.76,11391.76,2.03,23171.29
1519127580,11420,11420,11406.17,11406.17,8.99,102626.83
1519127640,11410.67,11420.49,11406.17,11420,5.79,66134.3
1519127700,11397.8,11420,11392.28,11410.67,7.37,84001.79
1519127760,11400.17,11402.17,11397.8,11397.8,0.5703,6501.9
1519127820,11400.02,11400.17,11394.17,11400.17,6.48,73805.81
1519127880,11410,11410,11399.79,11400.02,0.6947,7924.59
1519127940,11410,11410,11407,11410,2.02,23057.49
1519128000,11407,11410,11404.8,11410,2.21,25180.84
1519128060,11432.17,11444.99,11404.85,11407,23.97,273457
1519128120,11428.17,11432.17,11420,11432.17,0.3673,4196.74
1519128180,11443.35,11444.17,11428.17,11428.17,2.75,31469.09
1519128240,11443,11445.9,11440.17,11443.35,1.87,21385.26
1519128300,11444.95,11445,11438.17,11443,1.09,12470.78
1519128360,11444.17,11447.43,11443.31,11444.95,9.44,107996.45
1519128420,11449.85,11449.85,11443.17,11444.17,1.88,21496.9
1519128480,11451.08,11456.17,11449,11449.85,4.6,52651.81
1519128540,11460,11460,11450.56,11451.08,5.56,63670.85
1519128600,11456.18,11470,11452.17,11460,9.22,105565.17
1519128660,11466.17,11466.17,11456.18,11456.18,4.28,49093.54
1519128720,11470,11474.84,11464.55,11466.17,1.34,15369.76
1519128780,11489.95,11489.95,11470,11470,2.16,24840.06
