time,close,high,low,open,volumefrom,volumeto
1519124580,0.0243,0.0246,0.0243,0.0246,55300.8,1347.75
1519124640,0.0244,0.0244,0.0243,0.0243,114748.81,2799.87
1519124700,0.0243,0.0244,0.0243,0.0244,57212.9,1393.62
1519124760,0.0244,0.0244,0.0243,0.0243,45921.66,1120.49
1519124820,0.0245,0.0245,0.0244,0.0244,1,0.0245
1519124880,0.0245,0.0245,0.0245,0.0245,0,0
1519124940,0.0245,0.0245,0.0245,0.0245,0,0
1519125000,0.0245,0.0245,0.0245,0.0245,0,0
1519125060,0.0245,0.0245,0.0245,0.0245,40892.1,1001.86
1519125120,0.0245,0.0245,0.0245,0.0245,2503.72,61.34
1519125180,0.0245,0.0245,0.0245,0.0245,0,0
1519125240,0.0245,0.0245,0.0245,0.0245,0,0
1519125300,0.0244,0.0245,0.0244,0.0245,3806,92.87
1519125360,0.0244,0.0244,0.0244,0.0244,0,0
1519125420,0.0244,0.0244,0.0244,0.0244,5892.83,143.79
1519125480,0.0245,0.0245,0.0244,0.0244,68.58,1.68
1519125540,0.0245,0.0245,0.0245,0.0245,0,0
1519125600,0.0245,0.0245,0.0245,0.0245,0,0
1519125660,0.0245,0.0245,0.0245,0.0245,0,0
1519125720,0.0245,0.0245,0.0245,0.0245,0,0
1519125780,0.0245,0.0245,0.0245,0.0245,15534.05,380.58
1519125840,0.0245,0.0245,0.0245,0.0245,0,0
1519125900,0.0245,0.0245,0.0245,0.0245,21600,529.2
1519125960,0.0246,0.0246,0.0245,0.0245,59889.88,1473.29
1519126020,0.0246,0.0247,0.0245,0.0246,149346.41,3678.37
1519126080,0.0245,0.0246,0.0245,0.0246,48174.83,1181.12
1519126140,0.0245,0.0247,0.0245,0.0245,54747.84,1347.75
1519126200,0.0246,0.0247,0.0245,0.0245,49600.58,1220.88
1519126260,0.0247,0.0247,0.0246,0.0246,28200.57,696.55
1519126320,0.0247,0.0247,0.0245,0.0247,46724.51,1147.96
1519126380,0.0246,0.0247,0.0246,0.0247,22908.46,563.55
1519126440,0.0245,0.0246,0.0245,0.0246,43611.71,1068.49
1519126500,0.0245,0.0245,0.0245,0.0245,0,0
1519126560,0.0245,0.0245,0.0245,0.0245,0,0
1519126620,0.0246,0.0246,0.0245,0.0245,5806.54,142.84
1519126680,0.0246,0.0246,0.0246,0.0246,0,0
1519126740,0.0245,0.0246,0.0245,0.0246,12673.83,310.51
1519126800,0.0245,0.0245,0.0245,0.0245,1758.24,43.08
