time,close,high,low,open,volumefrom,volumeto
1519124400,936.05,936.8,935.82,936.8,4.88,4571.54
1519124460,936.85,938.15,936.05,936.05,5.45,5107.71
1519124520,935.61,936.85,935.5,936.85,18.34,17168.11
1519124580,935.07,936.23,935.07,935.61,20.97,19621.13
1519124640,934.9,935.25,934.9,935.07,11.98,11198.97
1519124700,933.85,934.93,933.63,934.9,43.82,40922.6
1519124760,934.29,934.8,933.58,933.85,23.51,21954.07
1519124820,934.22,934.8,934.22,934.29,11.23,10495.61
1519124880,934.69,934.8,934.22,934.22,7.95,7432.7
1519124940,934.4,934.8,933.54,934.69,12.03,11245.01
1519125000,934.38,934.4,933.2,934.4,10,9336.79
1519125060,933.96,934.38,933.2,934.38,5.05,4721.2
1519125120,933.91,933.96,933.11,933.96,5.49,5127.6
1519125180,933.63,933.96,933.11,933.91,1.87,1749.56
1519125240,933.72,933.98,933.49,933.63,2.03,1893.32
1519125300,933.98,934,933.3,933.72,4.4,4108.91
1519125360,933.66,933.98,933.28,933.98,24.07,22466.82
1519125420,933.45,933.92,933.28,933.66,15.88,14824.37
1519125480,933.28,933.45,933.28,933.45,22.58,21071.31
1519125540,933.5,933.85,933.28,933.28,26.34,24586.36
1519125600,933.51,933.7,933.5,933.5,16.91,15784.06
1519125660,933.7,933.8,933.51,933.51,24.72,23083.55
1519125720,933.39,934.19,933.11,933.7,48.95,45706.96
1519125780,933.45,933.54,933.1,933.39,14.72,13740.37
1519125840,933,933.46,933,933.45,30.86,28792.35
1519125900,932.9,933.6,932.5,933,17.67,16486.26
1519125960,933,934.8,932.48,932.9,33.1,30917.67
1519126020,933.11,933.92,933,933,8.64,8066.06
1519126080,933.16,933.16,933.11,933.11,1.59,1483.87
1519126140,934.82,934.82,933.16,933.16,9.33,8716.99
1519126200,935.32,936.65,933.2,934.82,44.32,41470.57
1519126260,936.65,936.65,934.33,935.32,6.76,6328.06
1519126320,936.5,938.69,936.5,936.65,5.05,4732.27
1519126380,937.36,937.8,936.5,936.5,9.57,8968.88
1519126440,936.73,937.36,935.64,937.36,18.88,17690.03
1519126500,936.15,936.75,936.08,936.73,1.5,1400.73
1519126560,936.53,937,936.15,936.15,4.39,4108.05
1519126620,936.51,937,936.26,936.53,2.41,2257.76
1519126680,937.77,937.77,936.51,936.51,44.66,41850.26
1519126740,937.42,938.25,936.54,937.77,22.36,20971.85
1519126800,936.76,937.42,936.57,937.42,4.52,4235.62
1519126860,936.13,936.76,936,936.76,13.42,12563.44
1519126920,936.23,936.7,936,936.13,4.09,3826.2
1519126980,936.55,936.55,936,936.23,2.16,2024.42
1519127040,936.7,936.7,936.34,936.55,19.97,18708.69
1519127100,938,938,936.62,936.7,25.54,23926.83
1519127160,938,938,937.16,938,3.77,3530.01
1519127220,938.68,939,938,938,16.99,15946.73
1519127280,938.72,939.99,938.27,938.68,29.19,27399.35
1519127340,938.83,940.12,938.72,938.72,22.68,21307.47
1519127400,938.74,941.16,938.74,938.83,32.86,30876.76
1519127460,938.52,941.16,938.5,938.74,59.02,55419.76
1519127520,938.15,940.22,936.67,938.52,15.14,14211.74
1519127580,937.59,939.86,936.67,938.15,17.59,16498.98
1519127640,936.92,939.91,936.67,937.59,2.07,1937.48
1519127700,936.79,937.41,936.67,936.92,6.42,6014.03
1519127760,938.13,938.13,936.67,936.79,12.23,11463
1519127820,937.84,938.13,937.15,938.13,5.46,5117.07
1519127880,937.57,937.84,937.25,937.84,5.46,5121.87
1519127940,937.72,937.78,937.52,937.57,3.13,2930.75
1519128000,938.01,938.21,937.7,937.72,7.67,7197.03
1519128060,938.56,939.93,937.74,938.01,6.75,6331.14
1519128120,940.04,940.36,938.56,938.56,6.44,6053.03
1519128180,940.13,941,938.83,940.04,11.47,10783.4
1519128240,941.1,941.1,940.13,940.13,5.15,4848.03
1519128300,940.42,941.1,939.74,941.1,17.37,16347.6
