时间,交易类型,平均价1,平均价2,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:29:00+00:00,In,0.03603,0.036,0.0361,13850,499.985,1.0,4499.01503,13850,4999.000029999999
2018-02-13T14:31:00+00:00,In,0.03604,0.03603,0.0361,6231,224.9391,0.4499,4273.62605,20081,4998.5501518
2018-02-13T14:33:00+00:00,In,0.03604,0.03605,0.0363,5886,213.6618,0.4273,4059.53693,25967,5002.1390282
2018-02-13T14:35:00+00:00,In,0.03605,0.03605,0.0362,5607,202.9734,0.4059,3856.15758,31574,4999.136381400001
2018-02-13T14:37:00+00:00,In,0.03605,0.03606,0.0362,5326,192.8012,0.3856,3662.97078,36900,4998.750779
2018-02-13T14:39:00+00:00,In,0.03605,0.03608,0.0364,5031,183.1284,0.3663,3479.47612,41931,5005.7645222
2018-02-13T14:41:00+00:00,In,0.03606,0.03611,0.0364,4779,173.9556,0.3479,3305.17261,46710,5005.416611000001
2018-02-13T14:43:00+00:00,In,0.03607,0.03614,0.0364,4540,165.256,0.3305,3139.5861,51250,5005.086099
2018-02-13T14:45:00+00:00,In,0.03608,0.03617,0.0363,4324,156.9612,0.3139,2982.31098,55574,4999.6471766
2018-02-13T14:47:00+00:00,In,0.03608,0.03619,0.0362,4119,149.1078,0.2982,2832.90496,59693,4993.791561
2018-02-13T14:49:00+00:00,In,0.03608,0.0362,0.0363,3902,141.6426,0.2833,2690.97908,63595,4999.4775758000005
2018-02-13T14:51:00+00:00,In,0.03609,0.03622,0.0364,3696,134.5344,0.2691,2556.17561,67291,5005.568007
2018-02-13T14:53:00+00:00,In,0.03609,0.03626,0.0365,3501,127.7865,0.2556,2428.13353,70792,5012.041534
2018-02-13T14:55:00+00:00,In,0.0361,0.03629,0.0364,3335,121.394,0.2428,2306.49675,74127,5004.719546
2018-02-13T14:57:00+00:00,In,0.0361,0.03631,0.0364,3168,115.3152,0.2306,2190.95092,77295,5004.488915600001
2018-02-13T14:59:00+00:00,In,0.0361,0.03633,0.0364,3009,109.5276,0.2191,2081.20426,80304,5004.269860400001
2018-02-13T15:01:00+00:00,Out,0.0361,0.03632,0.0361,80304,2898.9744,5.7979,4974.38071,0,4974.380711600001
2018-02-13T16:09:00+00:00,In,0.03594,0.03564,0.0363,13703,497.4189,0.9948,4475.96697,13703,4973.385873800001
2018-02-13T16:11:00+00:00,In,0.03594,0.03567,0.0361,6199,223.7839,0.4476,4251.73551,19902,4970.197706000001
2018-02-13T16:13:00+00:00,In,0.03594,0.03571,0.0361,5888,212.5568,0.4251,4038.75359,25790,4969.772592400001
2018-02-13T16:15:00+00:00,In,0.03594,0.03574,0.036,5609,201.924,0.4038,3836.42574,31399,4966.789744400001
2018-02-13T16:17:00+00:00,In,0.03595,0.03579,0.0363,5284,191.8092,0.3836,3644.23293,36683,4975.825826000001
2018-02-13T16:19:00+00:00,In,0.03596,0.03586,0.0365,4992,182.208,0.3644,3461.66051,41675,4982.79801
2018-02-13T16:21:00+00:00,In,0.03598,0.03597,0.0372,4652,173.0544,0.3461,3288.26,46327,5011.624401200001
2018-02-13T16:23:00+00:00,In,0.036,0.03609,0.0374,4396,164.4104,0.3288,3123.52078,50723,5020.560980400001
2018-02-13T16:25:00+00:00,In,0.03603,0.03621,0.0373,4187,156.1751,0.3124,2967.03333,54910,5015.176330200002
2018-02-13T16:27:00+00:00,In,0.03605,0.03634,0.0375,3956,148.35,0.2967,2818.38663,58866,5025.861630200001
2018-02-13T16:29:00+00:00,In,0.03608,0.03647,0.0376,3747,140.8872,0.2818,2677.21766,62613,5031.466455800002
2018-02-13T16:31:00+00:00,In,0.03609,0.03658,0.0371,3608,133.8568,0.2677,2543.09314,66221,4999.892242200001
2018-02-13T16:33:00+00:00,In,0.0361,0.03666,0.0367,3464,127.1288,0.2543,2415.71008,69685,4973.149584600002
2018-02-13T16:35:00+00:00,Out,0.03611,0.03672,0.0366,69685,2550.471,5.1009,4961.08014,0,4961.080142600002
2018-02-13T16:37:00+00:00,In,0.03611,0.03678,0.0368,13481,496.1008,0.9922,4463.98714,13481,4960.087941000002
2018-02-13T16:39:00+00:00,Out,0.03612,0.0368,0.0367,13481,494.7527,0.9895,4957.75034,0,4957.750335600002
2018-02-13T16:51:00+00:00,In,0.03616,0.03694,0.0371,13363,495.7673,0.9915,4460.9915,13363,4956.758801000002
2018-02-13T16:53:00+00:00,In,0.03618,0.03697,0.0377,5916,223.0332,0.4461,4237.51223,19279,4964.330534600002
2018-02-13T16:55:00+00:00,In,0.0362,0.03698,0.0378,5605,211.869,0.4237,4025.2195,24884,4965.834696600002
2018-02-13T16:57:00+00:00,In,0.03622,0.03698,0.0373,5395,201.2335,0.4025,3823.58353,30279,4952.990229600002
2018-02-13T16:59:00+00:00,In,0.03624,0.03698,0.0375,5098,191.175,0.3823,3632.02618,35377,4958.663679600001
2018-02-13T17:01:00+00:00,In,0.03627,0.03702,0.0377,4817,181.6009,0.3632,3450.06208,40194,4965.375877800001
2018-02-13T17:03:00+00:00,In,0.0363,0.0371,0.0378,4563,172.4814,0.345,3277.23572,44757,4969.050315000001
2018-02-13T17:05:00+00:00,In,0.03633,0.0372,0.0381,4300,163.83,0.3277,3113.07806,49057,4982.149755000001
2018-02-13T17:07:00+00:00,In,0.03637,0.03732,0.0385,4042,155.617,0.3112,2957.14982,53099,5001.461321000002
2018-02-13T17:09:00+00:00,In,0.03642,0.03744,0.0385,3840,147.84,0.2957,2809.01414,56939,5001.165641000001
2018-02-13T17:11:00+00:00,In,0.03646,0.03756,0.0381,3686,140.4366,0.2809,2668.29667,60625,4978.109167800001
2018-02-13T17:13:00+00:00,In,0.0365,0.03766,0.0382,3492,133.3944,0.2668,2534.63548,64117,4983.9048790000015
2018-02-13T17:15:00+00:00,In,0.03654,0.03777,0.0383,3308,126.6964,0.2534,2407.68569,67425,4990.063186200001
2018-02-13T17:17:00+00:00,In,0.03658,0.03787,0.0382,3151,120.3682,0.2407,2287.07675,70576,4983.0799498000015
2018-02-13T17:19:00+00:00,In,0.03662,0.03797,0.0383,2985,114.3255,0.2287,2172.5226,73561,4989.908898800002
2018-02-13T17:21:00+00:00,In,0.03666,0.03803,0.0382,2843,108.6026,0.2172,2063.70279,76404,4982.335593600002
2018-02-13T17:23:00+00:00,Out,0.03669,0.03803,0.0377,76404,2880.4308,5.7609,4938.37273,0,4938.372732000002
2018-02-13T17:27:00+00:00,In,0.03677,0.03812,0.0385,12826,493.801,0.9876,4443.58413,12826,4937.385130000002
2018-02-13T17:29:00+00:00,In,0.03681,0.03819,0.0383,5801,222.1783,0.4444,4220.96147,18627,4934.375573400002
2018-02-13T17:31:00+00:00,In,0.03686,0.03824,0.0386,5467,211.0262,0.4221,4009.51322,24094,4939.541621000002
2018-02-13T17:33:00+00:00,Out,0.0369,0.03825,0.0379,24094,913.1626,1.8263,4920.8495,0,4920.849495800003
2018-02-13T18:07:00+00:00,In,0.03749,0.03766,0.0377,13052,492.0604,0.9841,4427.80498,13052,4919.865375000003
2018-02-13T18:09:00+00:00,In,0.03751,0.03765,0.0377,5872,221.3744,0.4427,4205.98783,18924,4919.422626200003
2018-02-13T18:11:00+00:00,In,0.03754,0.03766,0.0378,5563,210.2814,0.4206,3995.28586,24487,4920.894463400004
2018-02-13T18:13:00+00:00,In,0.03757,0.03766,0.0377,5298,199.7346,0.3995,3795.15179,29785,4918.046294200003
2018-02-13T18:15:00+00:00,In,0.0376,0.03765,0.0377,5033,189.7441,0.3795,3605.02821,34818,4917.666806000003
2018-02-13T18:17:00+00:00,Out,0.03762,0.03765,0.0376,34818,1309.1568,2.6183,4911.56669,0,4911.566692400003
2018-02-13T18:23:00+00:00,In,0.03764,0.03763,0.0377,13028,491.1556,0.9823,4419.42878,13028,4910.584381200003
2018-02-13T18:25:00+00:00,In,0.03765,0.03762,0.0377,5861,220.9597,0.4419,4198.02716,18889,4910.142461800004
2018-02-13T18:27:00+00:00,Out,0.03765,0.03762,0.0375,18889,708.3375,1.4167,4904.94799,0,4904.9479868000035
2018-02-13T20:17:00+00:00,In,0.03745,0.03734,0.0376,13045,490.492,0.981,4413.475,13045,4903.967002800004
2018-02-13T20:19:00+00:00,In,0.03745,0.03736,0.0376,5868,220.6368,0.4413,4192.39693,18913,4903.525729200004
2018-02-13T20:21:00+00:00,In,0.03745,0.03739,0.0377,5560,209.612,0.4192,3982.36571,24473,4904.997805200004
2018-02-13T20:23:00+00:00,In,0.03745,0.03741,0.0376,5295,199.092,0.3982,3782.87552,29768,4902.152321200005
2018-02-13T20:25:00+00:00,In,0.03745,0.03742,0.0377,5017,189.1409,0.3783,3593.35634,34785,4904.750839400004
2018-02-13T20:27:00+00:00,In,0.03745,0.03744,0.0377,4765,179.6405,0.3593,3413.35656,39550,4904.391558400004
2018-02-13T20:29:00+00:00,In,0.03745,0.03745,0.0375,4551,170.6625,0.3413,3242.35273,44101,4896.140233400005
2018-02-13T20:31:00+00:00,In,0.03744,0.03746,0.0375,4323,162.1125,0.3242,3079.91601,48424,4895.816008400005
2018-02-13T20:33:00+00:00,In,0.03744,0.03748,0.0375,4106,153.975,0.308,2925.63306,52530,4895.508058400004
2018-02-13T20:35:00+00:00,In,0.03745,0.0375,0.0377,3880,146.276,0.2926,2779.06451,56410,4905.721506400005
2018-02-13T20:37:00+00:00,Out,0.03745,0.03751,0.0375,56410,2115.375,4.2308,4890.20876,0,4890.208756400005
2018-02-13T21:21:00+00:00,In,0.03738,0.03733,0.0374,13075,489.005,0.978,4400.22575,13075,4889.230746400005
2018-02-13T21:23:00+00:00,In,0.03738,0.03734,0.0374,5882,219.9868,0.44,4179.79897,18957,4888.790772800005
2018-02-13T21:25:00+00:00,Out,0.03738,0.03733,0.0373,18957,707.0961,1.4142,4885.48088,0,4885.480880600005
2018-02-13T21:27:00+00:00,In,0.03738,0.03733,0.0374,13062,488.5188,0.977,4395.98504,13062,4884.503843000004
2018-02-13T21:29:00+00:00,Out,0.03738,0.03733,0.0373,13062,487.2126,0.9744,4882.22322,0,4882.223217800004
2018-02-13T21:45:00+00:00,In,0.03738,0.03732,0.0374,13054,488.2196,0.9764,4393.02718,13054,4881.246778600004
2018-02-13T21:47:00+00:00,In,0.03738,0.03732,0.0374,5873,219.6502,0.4393,4172.93768,18927,4880.807478200004
2018-02-13T21:49:00+00:00,In,0.03738,0.03732,0.0374,5578,208.6172,0.4172,3963.90324,24505,4880.390243800004
2018-02-13T21:51:00+00:00,In,0.03738,0.03732,0.0374,5299,198.1826,0.3964,3765.32428,29804,4879.993878600004
2018-02-13T21:53:00+00:00,In,0.03738,0.03732,0.0374,5033,188.2342,0.3765,3576.71361,34837,4879.617410200004
2018-02-13T21:55:00+00:00,Out,0.03738,0.03731,0.0372,34837,1295.9364,2.5919,4870.05814,0,4870.058137400003
2018-02-13T23:27:00+00:00,In,0.03678,0.03653,0.0368,13233,486.9744,0.9739,4382.10979,13233,4869.0841886000035
2018-02-13T23:29:00+00:00,In,0.03678,0.03656,0.0369,5937,219.0753,0.4382,4162.59634,19170,4869.969338000003
2018-02-13T23:35:00+00:00,Out,0.03674,0.03658,0.0365,19170,699.705,1.3994,4860.90193,0,4860.901928000003
2018-02-13T23:43:00+00:00,In,0.03669,0.03662,0.0367,13244,486.0548,0.9721,4373.87502,13244,4859.929818400003
2018-02-13T23:45:00+00:00,In,0.03668,0.03663,0.0367,5958,218.6586,0.4373,4154.7791,19202,4859.492501200002
2018-02-13T23:47:00+00:00,In,0.03667,0.03664,0.0368,5645,207.736,0.4155,3946.62763,24847,4860.997229200002
2018-02-13T23:49:00+00:00,In,0.03666,0.03666,0.0367,5376,197.2992,0.3946,3748.93383,30223,4858.117930800003
2018-02-13T23:51:00+00:00,Out,0.03665,0.03665,0.0366,30223,1106.1618,2.2123,4852.88331,0,4852.8833072000025
2018-02-13T23:57:00+00:00,In,0.03662,0.03665,0.0369,13151,485.2719,0.9705,4366.64086,13151,4851.912763400002
2018-02-13T23:59:00+00:00,In,0.03662,0.03666,0.0369,5916,218.3004,0.4366,4147.90386,19067,4851.476162600003
2018-02-14T00:01:00+00:00,In,0.03662,0.03668,0.0369,5620,207.378,0.4148,3940.11111,24687,4851.0614066000035
2018-02-14T00:03:00+00:00,In,0.03662,0.03671,0.0371,5310,197.001,0.394,3742.7161,29997,4855.604804600003
2018-02-14T00:05:00+00:00,In,0.03663,0.03674,0.0369,5071,187.1199,0.3742,3555.22196,35068,4849.231164800003
2018-02-14T00:07:00+00:00,In,0.03663,0.03677,0.037,4804,177.748,0.3555,3377.11847,39872,4852.382468800002
2018-02-14T00:09:00+00:00,In,0.03664,0.0368,0.037,4563,168.831,0.3377,3207.94981,44435,4852.044806800002
2018-02-14T00:11:00+00:00,Out,0.03664,0.03683,0.0368,44435,1635.208,3.2704,4839.88739,0,4839.887390800002
2018-02-14T00:13:00+00:00,In,0.03664,0.03684,0.037,13080,483.96,0.9679,4354.95947,13080,4838.919470800002
2018-02-14T00:15:00+00:00,In,0.03665,0.03685,0.0369,5901,217.7469,0.4355,4136.77708,18981,4837.175977000003
2018-02-14T00:17:00+00:00,Out,0.03664,0.03684,0.0366,18981,694.7046,1.3894,4830.09227,0,4830.092267800002
