usdt_balance,risk,avg_range_1,avg_range_2
5256.2,0.98,2670,20
5270.28,0.98,2685,20
5299.59,0.98,2700,20
5338.28,0.98,2715,20
5397.49,0.98,2730,20
5453.43,0.98,2745,20
5453.57,0.98,2760,20
5455.38,0.98,2775,20
5475.54,0.98,2790,20
5508.04,0.98,2805,20
5540.84,0.98,2820,20
5555.86,0.98,2835,20
5547.72,0.98,2850,20
5552.99,0.98,2865,20
5558.67,0.98,2880,20
5618.2,0.98,2895,20
5645.24,0.98,2910,20
5691.56,0.98,2925,20
5817.12,0.98,2940,20
5867.74,0.98,2955,20
5847.38,0.98,2970,20
5835.43,0.98,2985,20
5820.53,0.98,3000,20
5817.13,0.98,3015,20
5798.3,0.98,3030,20
5807.95,0.98,3045,20
5804.55,0.98,3060,20
5819.34,0.98,3075,20
5822.11,0.98,3090,20
5823.55,0.98,3105,20
5801.46,0.98,3120,20
5790.88,0.98,3135,20
5759.17,0.98,3150,20
5742.12,0.98,3165,20
5726.68,0.98,3180,20
5726.2,0.98,3195,20
5724.12,0.98,3210,20
5717.23,0.98,3225,20
5728.39,0.98,3240,20
5747.63,0.98,3255,20
5745.12,0.98,3270,20
5737.47,0.98,3285,20
5736.56,0.98,3300,20
5686.78,0.98,3315,20
5692.98,0.98,3330,20
5697.93,0.98,3345,20
5713.03,0.98,3360,20
5717.52,0.98,3375,20
5714.96,0.98,3390,20
5713.94,0.98,3405,20
5710.68,0.98,3420,20
5712.03,0.98,3435,20
5707.84,0.98,3450,20
5692.56,0.98,3465,20
5670.13,0.98,3480,20
5643.92,0.98,3495,20
5629.16,0.98,3510,20
5612.7,0.98,3525,20
5583.43,0.98,3540,20
5573.06,0.98,3555,20
5565.73,0.98,3570,20
5534.27,0.98,3585,20
5497.3,0.98,3600,20
5449.03,0.98,3615,20
5399.1,0.98,3630,20
5405.56,0.98,3645,20
5412.05,0.98,3660,20
5410.8,0.98,3675,20
5415.97,0.98,3690,20
5418.32,0.98,3705,20
5435.01,0.98,3720,20
5459.33,0.98,3735,20
5478.75,0.98,3750,20
5494.18,0.98,3765,20
5514.17,0.98,3780,20
5538.14,0.98,3795,20
5550.71,0.98,3810,20
5555.93,0.98,3825,20
5572.38,0.98,3840,20
5578.41,0.98,3855,20
5573.88,0.98,3870,20
5563.62,0.98,3885,20
5579.62,0.98,3900,20
5585.58,0.98,3915,20
5605.96,0.98,3930,20
5598.49,0.98,3945,20
5625.7,0.98,3960,20
5653.46,0.98,3975,20
5662.84,0.98,3990,20
5668.9,0.98,4005,20
5662.59,0.98,4020,20
5665.1,0.98,4035,20
5661.36,0.98,4050,20
5637.8,0.98,4065,20
5610.3,0.98,4080,20
5559.0,0.98,4095,20
5537.01,0.98,4110,20
5516.58,0.98,4125,20
5503.65,0.98,4140,20
5448.45,0.98,4155,20
5398.33,0.98,4170,20
5369.97,0.98,4185,20
5343.72,0.98,4200,20
5326.02,0.98,4215,20
5301.47,0.98,4230,20
5279.48,0.98,4245,20
5259.69,0.98,4260,20
5261.22,0.98,4020,35
5277.09,0.98,90,80
5287.91,0.98,90,95
5258.96,0.98,90,110
5446.16,0.98,105,110
5294.57,0.98,360,380
5429.21,0.98,375,380
5348.58,0.98,375,395
5449.67,0.98,390,395
5291.78,0.98,375,410
5384.15,0.98,390,410
5440.61,0.98,405,410
5313.76,0.98,390,425
5383.78,0.98,405,425
5403.99,0.98,420,425
5251.55,0.98,435,440
