时间,交易类型,平均价1,平均价2,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-23T04:21:00+00:00,In,0.02107,0.02108,0.0211,23696.6825,500.0,1.0,4499.0,23696.68246,4999.0
2018-02-23T04:23:00+00:00,In,0.02107,0.02107,0.0211,10661.1374,224.95,0.4499,4273.6001,34357.81991,4998.5501
2018-02-23T05:13:00+00:00,In,0.02105,0.02106,0.0211,10127.0145,213.68001,0.4274,4059.49273,44484.83436,4998.12274
2018-02-23T05:15:00+00:00,In,0.02105,0.02108,0.0212,9574.2753,202.97464,0.4059,3856.11215,54059.10968,5002.16527
2018-02-23T05:17:00+00:00,In,0.02105,0.02109,0.0211,9137.7065,192.80561,0.3856,3662.92093,63196.81619,4996.37375
2018-02-23T05:19:00+00:00,In,0.02105,0.02109,0.0209,8762.9687,183.14605,0.3663,3479.40859,71959.78493,4983.3681
2018-02-23T05:21:00+00:00,In,0.02105,0.0211,0.0209,8323.944,173.97043,0.3479,3305.09022,80283.72892,4983.02016
2018-02-23T05:23:00+00:00,In,0.02105,0.02111,0.0211,7831.9673,165.25451,0.3305,3139.5052,88115.69627,4998.74639
2018-02-23T05:25:00+00:00,In,0.02105,0.02112,0.0212,7404.4934,156.97526,0.314,2982.21599,95520.18967,5007.24401
2018-02-23T05:27:00+00:00,In,0.02105,0.02114,0.0213,7000.507,149.1108,0.2982,2832.80697,102520.69669,5016.49781
2018-02-23T05:29:00+00:00,In,0.02105,0.02115,0.0213,6649.7816,141.64035,0.2833,2690.88334,109170.47831,5016.21453
2018-02-23T05:31:00+00:00,In,0.02105,0.02116,0.0212,6346.423,134.54417,0.2691,2556.07008,115516.90128,5005.02839
2018-02-23T05:33:00+00:00,In,0.02105,0.02116,0.0212,6028.4672,127.8035,0.2556,2428.01097,121545.36847,5004.77279
2018-02-23T05:35:00+00:00,In,0.02105,0.02116,0.0212,5726.441,121.40055,0.2428,2306.36762,127271.80944,5004.52998
2018-02-23T05:37:00+00:00,In,0.02104,0.02118,0.0213,5414.0085,115.31838,0.2306,2190.81861,132685.81795,5017.02653
2018-02-23T05:39:00+00:00,In,0.02104,0.02121,0.0212,5167.025,109.54093,0.2191,2081.05859,137852.84296,5003.53886
2018-02-23T05:41:00+00:00,In,0.02104,0.02122,0.0211,4931.4185,104.05293,0.2081,1976.79756,142784.26143,4989.54547
2018-02-23T05:43:00+00:00,In,0.02104,0.02123,0.0212,4662.2584,98.83988,0.1977,1877.76,147446.51982,5003.62622
2018-02-23T05:45:00+00:00,In,0.02104,0.02122,0.0212,4428.6792,93.888,0.1878,1783.68422,151875.19907,5003.43844
2018-02-23T05:47:00+00:00,In,0.02104,0.02121,0.0211,4226.7399,89.18421,0.1784,1694.32164,156101.93894,4988.07256
2018-02-23T05:49:00+00:00,In,0.02104,0.0212,0.0212,3996.0416,84.71608,0.1694,1609.43613,160097.98055,5003.51332
2018-02-23T05:51:00+00:00,In,0.02104,0.02121,0.0213,3778.0191,80.47181,0.1609,1528.80338,163875.99964,5019.36217
2018-02-23T05:53:00+00:00,In,0.02104,0.02121,0.0212,3605.6683,76.44017,0.1529,1452.21033,167481.66799,5002.82169
2018-02-23T05:55:00+00:00,In,0.02104,0.02123,0.0213,3408.9444,72.61052,0.1452,1379.45459,170890.61243,5019.42464
2018-02-23T05:57:00+00:00,In,0.02104,0.02121,0.0211,3268.8497,68.97273,0.1379,1310.34392,174159.46217,4985.10857
2018-02-23T05:59:00+00:00,In,0.02104,0.0212,0.0212,3090.4338,65.5172,0.131,1244.69569,177249.89594,5002.39348
2018-02-23T06:01:00+00:00,In,0.02104,0.02119,0.0211,2949.5158,62.23478,0.1245,1182.33643,180199.41179,4984.54402
2018-02-23T06:03:00+00:00,In,0.02104,0.02117,0.0209,2828.5561,59.11682,0.1182,1123.10138,183027.96785,4948.38591
2018-02-23T06:05:00+00:00,In,0.02104,0.02114,0.0209,2686.8454,56.15507,0.1123,1066.834,185714.81326,4948.2736
2018-02-23T06:07:00+00:00,In,0.02104,0.0211,0.0208,2564.5048,53.3417,0.1067,1013.38562,188279.31807,4929.59543
2018-02-23T06:09:00+00:00,In,0.02104,0.02105,0.0208,2436.0231,50.66928,0.1013,962.615,190715.34118,4929.49409
2018-02-23T07:15:00+00:00,In,0.02102,0.02103,0.021,2291.9405,48.13075,0.0963,914.38799,193007.28165,4967.5409
2018-02-23T07:17:00+00:00,In,0.02102,0.02103,0.021,2177.1143,45.7194,0.0914,868.57715,195184.3959,4967.44946
2018-02-23T09:39:00+00:00,In,0.02099,0.02103,0.0212,2048.531,43.42886,0.0869,825.06143,197232.92691,5006.39948
2018-02-23T09:41:00+00:00,In,0.02099,0.02108,0.0214,1927.7136,41.25307,0.0825,783.72585,199160.64054,5045.76356
2018-02-23T09:43:00+00:00,In,0.02099,0.02114,0.0215,1822.6183,39.18629,0.0784,744.46119,200983.2588,5065.60125
2018-02-23T09:45:00+00:00,In,0.02099,0.02119,0.0215,1731.3051,37.22306,0.0744,707.16368,202714.56389,5065.52681
2018-02-23T09:47:00+00:00,In,0.02099,0.02123,0.0213,1660.0086,35.35818,0.0707,671.73478,204374.57254,5024.91318
2018-02-23T09:49:00+00:00,In,0.02099,0.02128,0.0216,1554.9416,33.58674,0.0672,638.08087,205929.51417,5086.15838
2018-02-23T09:51:00+00:00,In,0.02099,0.02132,0.0214,1490.8432,31.90404,0.0638,606.11302,207420.35732,5044.90867
2018-02-23T09:53:00+00:00,In,0.02099,0.02136,0.0215,1409.5652,30.30565,0.0606,575.74676,208829.92248,5065.59009
2018-02-23T09:55:00+00:00,In,0.02099,0.0214,0.0214,1345.2027,28.78734,0.0576,546.90184,210175.12519,5044.64952
2018-02-23T09:57:00+00:00,In,0.02099,0.02141,0.0213,1283.8071,27.34509,0.0547,519.50206,211458.93233,5023.57732
2018-02-23T09:59:00+00:00,In,0.02099,0.02141,0.0212,1225.2407,25.9751,0.052,493.47501,212684.17304,5002.37948
2018-02-23T10:01:00+00:00,In,0.02099,0.02139,0.0212,1163.8562,24.67375,0.0493,468.75191,213848.0292,5002.33013
2018-02-23T10:03:00+00:00,In,0.02099,0.02136,0.0212,1105.547,23.4376,0.0469,445.26744,214953.57615,5002.28325
2018-02-23T10:05:00+00:00,In,0.02099,0.02132,0.0211,1055.1361,22.26337,0.0445,422.95954,216008.71227,4980.74337
2018-02-23T10:07:00+00:00,In,0.02099,0.02129,0.0211,1002.2738,21.14798,0.0423,401.76927,217010.98606,4980.70107
2018-02-23T10:09:00+00:00,In,0.02099,0.02126,0.0212,947.569,20.08846,0.0402,381.64063,217958.55509,5002.362
2018-02-23T10:11:00+00:00,In,0.02098,0.02124,0.0212,900.0958,19.08203,0.0382,362.52043,218858.65091,5002.32383
2018-02-23T10:13:00+00:00,In,0.02098,0.02121,0.0212,855.001,18.12602,0.0363,344.35816,219713.65193,5002.28758
2018-02-23T10:15:00+00:00,In,0.02098,0.02119,0.0212,812.1655,17.21791,0.0344,327.10581,220525.8174,5002.25314
2018-02-23T10:17:00+00:00,In,0.02098,0.02117,0.0211,775.1323,16.35529,0.0327,310.71781,221300.94966,4980.16785
2018-02-23T10:19:00+00:00,In,0.02098,0.02116,0.0211,736.2981,15.53589,0.0311,295.15085,222037.2478,4980.13678
2018-02-23T10:21:00+00:00,In,0.02098,0.02114,0.021,702.7401,14.75754,0.0295,280.36379,222739.98792,4957.90354
2018-02-23T10:23:00+00:00,In,0.02098,0.02111,0.0208,673.9514,14.01819,0.028,266.31757,223413.93935,4913.32751
2018-02-23T10:25:00+00:00,In,0.02098,0.02109,0.021,634.0894,13.31588,0.0266,252.97506,224048.02879,4957.98366
2018-02-23T10:27:00+00:00,In,0.02098,0.02108,0.0209,605.2035,12.64875,0.0253,240.30101,224653.23228,4935.55356
2018-02-23T10:29:00+00:00,In,0.02098,0.02106,0.021,572.1453,12.01505,0.024,228.26193,225225.37753,4957.99485
2018-02-23T10:31:00+00:00,In,0.02098,0.02104,0.021,543.4808,11.4131,0.0228,216.826,225768.85831,4957.97203
2018-02-23T10:33:00+00:00,In,0.02098,0.02102,0.021,516.2524,10.8413,0.0217,205.96302,226285.1107,4957.95035
2018-02-23T10:35:00+00:00,In,0.02098,0.021,0.021,490.3881,10.29815,0.0206,195.64427,226775.49885,4957.92975
2018-02-23T10:37:00+00:00,In,0.02097,0.02099,0.021,465.8197,9.78221,0.0196,185.8425,227241.31855,4957.91019
2018-02-23T10:39:00+00:00,In,0.02097,0.02098,0.021,442.4821,9.29212,0.0186,176.53179,227683.80068,4957.8916
2018-02-23T11:29:00+00:00,In,0.02096,0.02097,0.0211,418.3218,8.82659,0.0177,167.68754,228102.12245,4980.64233
