时间,交易类型,平均价1,平均价2,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-15T14:29:00+00:00,In,0.03895,0.04023,0.0404,12376.2376,500.0,0.5,4499.5,12376.23762,4999.5
2018-02-15T14:31:00+00:00,In,0.03895,0.04026,0.0405,5554.9383,224.975,0.225,4274.30003,17931.1759,5000.51265
2018-02-15T14:33:00+00:00,In,0.03895,0.04029,0.0405,5276.9136,213.715,0.2137,4060.37131,23208.08951,5000.29893
2018-02-15T14:37:00+00:00,Out,0.03896,0.04032,0.0403,23208.0895,935.28601,0.9353,4994.72203,0,4994.72203
2018-02-15T14:39:00+00:00,In,0.03896,0.04033,0.0405,12332.647,499.4722,0.4995,4494.75035,12332.64699,4994.22256
2018-02-15T14:41:00+00:00,In,0.03896,0.04033,0.0404,5562.8098,224.73752,0.2247,4269.7881,17895.45683,4992.76456
2018-02-15T14:43:00+00:00,Out,0.03897,0.04035,0.0402,17895.4568,719.39736,0.7194,4988.46607,0,4988.46607
2018-02-15T14:49:00+00:00,In,0.03897,0.04038,0.0404,12347.6883,498.84661,0.4988,4489.12061,12347.68828,4987.96722
2018-02-15T14:51:00+00:00,Out,0.03898,0.04037,0.0403,12347.6883,497.61184,0.4976,4986.23484,0,4986.23484
2018-02-15T14:53:00+00:00,In,0.03898,0.04037,0.0405,12311.691,498.62348,0.4986,4487.11273,12311.69096,4985.73622
2018-02-15T14:55:00+00:00,In,0.03898,0.04038,0.0404,5553.3573,224.35564,0.2244,4262.53274,17865.0483,4984.28069
2018-02-15T14:57:00+00:00,In,0.03899,0.04039,0.0405,5262.3861,213.12664,0.2131,4049.19298,23127.4344,4985.85407
2018-02-15T14:59:00+00:00,In,0.03899,0.04041,0.0407,4974.4385,202.45965,0.2025,3846.53087,28101.87295,4990.2771
2018-02-15T15:01:00+00:00,In,0.03899,0.04042,0.0407,4725.4679,192.32654,0.1923,3654.012,32827.34084,4990.08477
2018-02-15T15:03:00+00:00,In,0.039,0.04044,0.0408,4477.9559,182.7006,0.1827,3471.1287,37305.29672,4993.1848
