时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:33:00+00:00,In,0.03605,0.03604,0.0363,13774,499.9962,1.0,4499.00381,13774,4999.0000076
2018-02-13T14:39:00+00:00,In,0.03608,0.03606,0.0364,6179,224.9156,0.4498,4273.63838,19953,4999.9275764
2018-02-13T15:03:00+00:00,Out,0.0363,0.03609,0.036,19953,718.308,1.4366,4990.50976,0,4990.5097604
2018-02-13T16:27:00+00:00,In,0.03634,0.03605,0.0375,13308,499.05,0.9981,4490.46166,13308,4989.5116604
2018-02-13T16:57:00+00:00,In,0.03698,0.03622,0.0373,6019,224.5087,0.449,4265.50394,19327,4986.401043000001
2018-02-13T17:03:00+00:00,In,0.0371,0.0363,0.0378,5642,213.2676,0.4265,4051.80981,24969,4995.638007800001
2018-02-13T17:09:00+00:00,In,0.03744,0.03643,0.0385,5262,202.587,0.4052,3848.81763,30231,5012.7111338
2018-02-13T17:15:00+00:00,In,0.03777,0.03655,0.0383,5024,192.4192,0.3848,3656.0136,35255,5006.2800954
2018-02-13T17:27:00+00:00,In,0.03812,0.03678,0.0385,4748,182.798,0.3656,3472.85,40003,5012.965499400001
2018-02-13T18:21:00+00:00,Out,0.03763,0.03764,0.0375,40003,1500.1125,3.0002,4969.96227,0,4969.962274400001
2018-02-13T23:57:00+00:00,In,0.03665,0.03662,0.0369,13468,496.9692,0.9939,4471.99914,13468,4968.968336000001
2018-02-14T00:03:00+00:00,In,0.03671,0.03662,0.0371,6026,223.5646,0.4471,4247.98741,19494,4971.2148068
2018-02-14T00:09:00+00:00,In,0.0368,0.03663,0.037,5740,212.38,0.4248,4035.18265,25234,4968.840646799999
2018-02-14T00:21:00+00:00,Out,0.03686,0.03664,0.0366,25234,923.5644,1.8471,4956.89992,0,4956.899918
2018-02-14T00:51:00+00:00,In,0.03696,0.03674,0.0372,13324,495.6528,0.9913,4460.25581,13324,4955.9086124
2018-02-14T00:57:00+00:00,In,0.03707,0.03679,0.0373,5978,222.9794,0.446,4236.83045,19302,4956.7950536
2018-02-14T01:03:00+00:00,In,0.03717,0.03684,0.0375,5649,211.8375,0.4237,4024.56928,24951,4960.231778599999
2018-02-14T01:51:00+00:00,Out,0.03715,0.03709,0.0369,24951,920.6919,1.8414,4943.41979,0,4943.419794799999
2018-02-14T03:33:00+00:00,In,0.03719,0.03707,0.0374,13217,494.3158,0.9886,4448.11536,13217,4942.431163199999
2018-02-14T04:15:00+00:00,In,0.03732,0.03716,0.0376,5915,222.404,0.4448,4225.26656,19132,4944.629755199999
2018-02-14T04:21:00+00:00,In,0.03744,0.0372,0.0377,5603,211.2331,0.4225,4013.61099,24735,4946.120488999999
2018-02-14T05:39:00+00:00,In,0.03769,0.03759,0.0379,5295,200.6805,0.4014,3812.52913,30030,4950.666127999999
2018-02-14T06:03:00+00:00,Out,0.03777,0.03771,0.0376,30030,1129.128,2.2583,4939.39887,0,4939.398871999999
2018-02-14T06:33:00+00:00,In,0.03777,0.03774,0.038,12998,493.924,0.9878,4444.48702,12998,4938.411023999999
2018-02-14T06:51:00+00:00,Out,0.03784,0.03776,0.0377,12998,490.0246,0.98,4933.53157,0,4933.531574799999
2018-02-14T07:39:00+00:00,In,0.03783,0.03777,0.0382,12915,493.353,0.9867,4439.19187,12915,4932.5448688
2018-02-14T08:39:00+00:00,Out,0.03795,0.03786,0.0378,12915,488.187,0.9764,4926.40249,0,4926.4024948
2018-02-14T10:51:00+00:00,In,0.03757,0.03744,0.0379,12998,492.6242,0.9852,4432.79305,12998,4925.4172464
2018-02-14T10:57:00+00:00,In,0.03767,0.03746,0.0379,5848,221.6392,0.4433,4210.71057,18846,4924.973968
2018-02-14T11:21:00+00:00,In,0.03795,0.03758,0.0382,5511,210.5202,0.421,3999.76933,24357,4930.206727600001
2018-02-14T11:27:00+00:00,In,0.03819,0.03768,0.0395,5062,199.949,0.3999,3799.42043,29419,4961.4709296
2018-02-14T11:33:00+00:00,In,0.03865,0.0378,0.0401,4737,189.9537,0.3799,3609.08682,34156,4978.7424222
2018-02-14T11:39:00+00:00,In,0.03926,0.03798,0.0411,4390,180.429,0.3609,3428.29696,38546,5012.5375642
2018-02-14T11:45:00+00:00,In,0.03987,0.03817,0.0407,4211,171.3877,0.3428,3256.56649,42757,4996.7763888
2018-02-14T11:51:00+00:00,In,0.04043,0.03835,0.041,3971,162.811,0.3256,3093.42987,46728,5009.2778668
2018-02-14T12:15:00+00:00,In,0.04086,0.03906,0.0414,3736,154.6704,0.3093,2938.45013,50464,5027.659726
2018-02-14T12:21:00+00:00,In,0.04094,0.03925,0.0413,3557,146.9041,0.2938,2791.25222,54021,5022.3195178000005
2018-02-14T12:27:00+00:00,In,0.04102,0.03945,0.0415,3362,139.523,0.279,2651.45017,57383,5032.844671800001
2018-02-14T13:15:00+00:00,In,0.04089,0.04075,0.0416,3186,132.5376,0.2651,2518.6475,60569,5038.3178966000005
2018-02-14T13:21:00+00:00,In,0.04106,0.04093,0.0419,3005,125.9095,0.2518,2392.48618,63574,5056.236777600001
2018-02-14T13:27:00+00:00,In,0.04124,0.04103,0.0415,2882,119.603,0.2392,2272.64397,66456,5030.567971600001
2018-02-14T13:57:00+00:00,Out,0.04113,0.0411,0.041,66456,2724.696,5.4494,4991.89058,0,4991.890579600001
2018-02-14T15:39:00+00:00,In,0.04028,0.04023,0.0408,12235,499.188,0.9984,4491.7042,12235,4990.892203600001
2018-02-14T16:21:00+00:00,In,0.04052,0.04014,0.0408,5504,224.5632,0.4491,4266.69188,17739,4990.4430772000005
2018-02-14T16:45:00+00:00,Out,0.04034,0.04022,0.0402,17739,713.1078,1.4262,4978.37346,0,4978.373461600001
2018-02-14T19:09:00+00:00,In,0.04003,0.04002,0.0403,12353,497.8259,0.9957,4479.55191,12353,4977.377809800001
2018-02-14T19:15:00+00:00,In,0.0401,0.04003,0.0403,5557,223.9471,0.4479,4255.15692,17910,4976.929915600002
2018-02-14T19:27:00+00:00,Out,0.04015,0.04003,0.0399,17910,714.609,1.4292,4968.3367,0,4968.336697600002
2018-02-14T22:09:00+00:00,In,0.0399,0.03987,0.0401,12389,496.7989,0.9936,4470.5442,12389,4967.343099800001
2018-02-14T22:33:00+00:00,In,0.0401,0.03991,0.0404,5532,223.4928,0.447,4246.60441,17921,4970.612814200002
2018-02-14T22:39:00+00:00,In,0.04016,0.03993,0.0404,5255,212.302,0.4246,4033.87781,23176,4970.188210200002
2018-02-14T22:51:00+00:00,In,0.04028,0.03997,0.0405,4980,201.69,0.4034,3831.78443,28156,4972.102430200002
2018-02-14T23:39:00+00:00,In,0.0405,0.04027,0.0407,4707,191.5749,0.3831,3639.82638,32863,4977.350480400002
2018-02-14T23:45:00+00:00,In,0.04062,0.04034,0.0411,4428,181.9908,0.364,3457.4716,37291,4990.131698800002
2018-02-14T23:51:00+00:00,In,0.04074,0.04041,0.0412,4195,172.834,0.3457,3284.29193,41486,4993.515130800002
2018-02-15T00:33:00+00:00,Out,0.04076,0.04067,0.0404,41486,1676.0344,3.3521,4956.97426,0,4956.9742620000015
2018-02-15T02:27:00+00:00,In,0.04013,0.04004,0.0404,12269,495.6676,0.9913,4460.31533,12269,4955.982926800001
2018-02-15T02:33:00+00:00,In,0.04028,0.04004,0.0406,5492,222.9752,0.446,4236.89418,17761,4957.990776400002
